Function,Count,Inclusive time (ms),Inclusive time %,Exclusive time (ms),Exclusive time %,Avg time (ms),Max time (ms),Min time (ms),Function type,URL,Line number,Worker Id
Sieve,16,10.00,0.17,2.00,0.03,0.63,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"51,033",0
parentNode,"19,215",9.01,0.15,9.01,0.15,0.00,1.00,0.00,DOM,,0,0
d3_selection_selector,"17,922",9.01,0.15,9.01,0.15,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,141",0
coerceSubplotAttr,800,9.01,0.15,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,944",0
innerHTML,2,8.01,0.14,8.01,0.14,4.00,8.01,0.00,DOM,,0,0
length,"17,113",8.01,0.14,8.01,0.14,0.00,1.00,0.00,DOM,,0,0
Object.keys,"3,687",8.01,0.14,8.01,0.14,0.00,1.00,0.00,Built-in,,0,0
ax.l2p,"15,891",8.01,0.14,7.01,0.12,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,410",0
target,"14,054",8.00,0.14,8.00,0.14,0.00,1.00,0.00,DOM,,0,0
exports.distinctVals,16,8.00,0.14,3.00,0.05,0.50,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,228",0
setBaseAndTop,16,8.00,0.14,3.00,0.05,0.50,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,844",0
module.exports,320,8.00,0.14,2.00,0.03,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,372",0
Anonymous function,99,8.00,0.14,1.00,0.02,0.08,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,463",0
Math.max,"70,521",7.01,0.12,7.01,0.12,0.00,1.00,0.00,Built-in,,0,0
nodeName,"5,478",7.01,0.12,7.01,0.12,0.00,1.00,0.00,DOM,,0,0
calcTicks,64,7.01,0.12,2.00,0.03,0.11,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,607",0
makePlotFramework,2,7.01,0.12,0.00,0.00,3.50,4.00,3.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"33,120",0
DOMParser,"1,273",7.00,0.12,7.00,0.12,0.01,1.00,0.00,DOM,,0,0
d3_selectionPrototype.node,"37,992",7.00,0.12,7.00,0.12,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,522",0
axes.getSubplots,80,7.00,0.12,2.00,0.03,0.09,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,326",0
draw,33,7.00,0.12,1.00,0.02,0.21,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"21,755",0
listNames,309,7.00,0.12,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,610",0
addEventListener,331,6.01,0.10,6.01,0.10,0.02,1.00,0.00,DOM,,0,0
legendDefaults,16,6.01,0.10,2.01,0.03,0.38,1.01,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,251",0
coerce,254,6.01,0.10,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,057",0
exports.traceIs,"6,376",6.00,0.10,6.00,0.10,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"49,069",0
ax.d2c,"4,000",6.00,0.10,6.00,0.10,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,485",0
handleTickLabelDefaults,32,6.00,0.10,0.00,0.00,0.19,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,572",0
Number,"54,957",5.01,0.08,5.01,0.08,0.00,1.00,0.00,Built-in,,0,0
Anonymous function,"1,273",5.00,0.08,5.00,0.08,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,672",0
onmousedown,384,5.00,0.08,5.00,0.08,0.01,1.00,0.00,DOM,,0,0
d3_selection_selectorAll,"13,855",5.00,0.08,5.00,0.08,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,159",0
String,"32,927",5.00,0.08,5.00,0.08,0.00,1.00,0.00,Built-in,,0,0
filterAxis,309,5.00,0.08,3.00,0.05,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,614",0
Array.sort,469,5.00,0.08,3.00,0.05,0.01,1.00,0.00,Built-in,,0,0
coerce,413,5.00,0.08,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,035",0
colorbar,170,5.00,0.08,0.00,0.00,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"53,471",0
defaultSetBackground,33,5.00,0.08,0.00,0.00,0.15,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"33,344",0
drawTicks,64,5.00,0.08,0.00,0.00,0.08,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,635",0
coerce2,192,5.00,0.08,0.00,0.00,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,390",0
exports.valObjects.string.coerceFunction,912,5.00,0.08,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,399",0
tinycolor.mix,32,4.01,0.07,0.00,0.00,0.13,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"12,545",0
exports.getFromId,"1,106",4.00,0.07,3.00,0.05,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,658",0
getLegendData,33,4.00,0.07,2.00,0.03,0.12,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"20,059",0
exports.valObjects.enumerated.coerceFunction,880,4.00,0.07,2.00,0.03,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,353",0
plots.doAutoMargin,82,4.00,0.07,1.00,0.02,0.05,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,380",0
Anonymous function,517,4.00,0.07,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,645",0
drawing.makeTester,16,4.00,0.07,0.00,0.00,0.25,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"17,507",0
exports.valObjects.any.coerceFunction,220,3.01,0.05,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,496",0
pruneContainers,482,3.01,0.05,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,586",0
String.replace,"1,311",3.00,0.05,3.00,0.05,0.00,1.00,0.00,Built-in,,0,0
lastChild,"1,273",3.00,0.05,3.00,0.05,0.00,1.00,0.00,DOM,,0,0
attributes,"1,599",3.00,0.05,3.00,0.05,0.00,1.00,0.00,DOM,,0,0
top,"4,797",3.00,0.05,3.00,0.05,0.00,1.00,0.00,DOM,,0,0
cleanNumber,"4,210",3.00,0.05,3.00,0.05,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,307",0
handlePositionDefaults,32,3.00,0.05,2.00,0.03,0.09,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,939",0
axes.expand,32,3.00,0.05,1.00,0.02,0.09,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,373",0
draw,33,3.00,0.05,1.00,0.02,0.09,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"25,483",0
Anonymous function,155,3.00,0.05,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,020",0
color.combine,16,3.00,0.05,0.00,0.00,0.19,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"15,034",0
exports.valObjects.number.coerceFunction,"1,104",3.00,0.05,0.00,0.00,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,372",0
exports.extendDeepNoArrays,15,3.00,0.05,0.00,0.00,0.20,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,074",0
drawing.setClipUrl,66,3.00,0.05,0.00,0.00,0.05,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"17,606",0
emptyObj,"9,974",2.01,0.03,2.01,0.03,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,616",0
supplyLayoutDefaults,16,2.01,0.03,1.00,0.02,0.13,1.01,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"14,025",0
removeEventListener,326,2.00,0.03,2.00,0.03,0.01,1.00,0.00,DOM,,0,0
Math.round,"32,563",2.00,0.03,2.00,0.03,0.00,1.00,0.00,Built-in,,0,0
height,"1,632",2.00,0.03,2.00,0.03,0.00,1.00,0.00,DOM,,0,0
replaceFromMapObject,"1,273",2.00,0.03,2.00,0.03,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,649",0
nextSibling,"1,273",2.00,0.03,2.00,0.03,0.00,1.00,0.00,DOM,,0,0
pointerEvents,352,2.00,0.03,2.00,0.03,0.01,1.00,0.00,DOM,,0,0
getSubplotIds,114,2.00,0.03,2.00,0.03,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,244",0
d3_selection_style,"9,092",2.00,0.03,2.00,0.03,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,287",0
addItem,192,2.00,0.03,2.00,0.03,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,402",0
