Function,Count,Inclusive time (ms),Inclusive time %,Exclusive time (ms),Exclusive time %,Avg time (ms),Max time (ms),Min time (ms),Function type,URL,Line number,Worker Id
transfn,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,590",0
tickpathfn,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,593",0
transfn,205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,603",0
tickpathfn,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,606",0
Anonymous function,96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,623",0
labelx,847,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,667",0
labely,99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,669",0
labelanchor,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,673",0
labely,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,682",0
labelx,161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,683",0
labelanchor,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,687",0
allLabelsReady,64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,774",0
drawAxTitle,64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,930",0
calcAutorange,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"13,940",0
Anonymous function,64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,111",0
updateMenusDefaults,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"25,387",0
linearOK,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,291",0
getBoxPosLetter,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,533",0
isBoxWithoutPositionCoords,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,537",0
makeMenuData,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"25,595",0
getFirstNonEmptyTrace,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,548",0
id2name,352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,584",0
name2id,64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,591",0
color.tinyRGB,67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"15,015",0
color.opacity,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"15,023",0
handleCategoryOrderDefaults,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,697",0
isDirectionActive,704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,860",0
color.clean,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"15,077",0
exports.valObjects.data_array.coerceFunction,320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,344",0
exports.valObjects.integer.coerceFunction,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,385",0
exports.valObjects.angle.coerceFunction,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,431",0
getDragCursor,352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"38,579",0
exports.valObjects.subplotid.coerceFunction,320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,444",0
exports.valObjects.flaglist.coerceFunction,176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,470",0
fx.isHoriz,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"38,658",0
exports.isJSDate,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,652",0
Events.init,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,885",0
plotObj.emit,34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,942",0
Events.triggerHandler,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,964",0
primitivesLoopSplice,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,048",0
isValidScaleArray,640,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"16,486",0
filterVisible,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,217",0
lib.constrain,64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,537",0
exports.clean,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,078",0
lib.noop,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,559",0
Anonymous function,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,132",0
randstr,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,562",0
makeSubplotData,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,169",0
Object.getPrototypeOf,"2,230",0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
continueAsync,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,688",0
purgeSubplotLayers,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,300",0
lib.noneOrAll,48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,715",0
lib.mergeArray,800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,758",0
Object.create,290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
drawing.fillGroupStyle,330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"17,179",0
Anonymous function,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,803",0
Array.every,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
Anonymous function,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,829",0
drawing.pointStyle,330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"17,330",0
lib.numSeparate,129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,123",0
isArray,151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,166",0
Array.concat,201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
exports.getModule,160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"49,046",0
getTraceType,71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"49,104",0
ax.cleanRange,194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,281",0
npGet,364,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,453",0
npSet,364,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,505",0
checkNewContainer,77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,576",0
getShowAttrDflt,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,622",0
Anonymous function,96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,626",0
arraysToCalcdata,160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"49,806",0
Function.bind,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
Math.abs,697,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
calc,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,214",0
Math.ceil,183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
calcOneAxis,320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,231",0
Math.floor,527,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
